   i    j      cc  nref
   0    1  0.9754 2072
   0    2  0.9595 5959
   0    3  0.9830 2028
   0    4  0.9628 3052
   0    5  0.9614 3854
   0    6  0.9874 2975
   0    7  0.9271 5220
   0    8  0.9801 3720
   0    9  0.9738 3684
   0   10  0.9864 5348
   0   11  0.3843 2499
   0   12  0.6023 3211
   0   13  0.3749 4616
   0   14  0.6052 5002
   0   15  0.3962 4727
   0   16  0.4382 3911
   0   17  0.5733 1916
   0   18  0.5407 2081
   0   19  0.6065 4000
   0   20  0.9320 1976
   0   21  0.9207 3699
   0   22  0.9629 1950
   0   23  0.8397 3669
   0   24  0.8748 3040
   0   25  0.9237 3857
   0   26  0.9448 3057
   0   27  0.9243 3827
   0   28  0.8868 4122
   0   29  0.9379 2533
   0   30  0.7932 2489
   0   31  0.9132 4122
   0   32  0.4067 3563
   0   33  0.5563 4214
   0   34  0.5947 3634
   0   35  0.6228 4173
   0   36  0.5080 2069
   0   37  0.5291 3676
   0   38  0.6067 2125
   0   39  0.3633 3703
   0   40  0.5276 2525
   0   41  0.3968 4129
   0   42  0.6094 3951
   0   43  0.7953 5133
   0   44  0.8942 1838
   0   45  0.8848 5211
   0   46  0.6481 1801
   0   47  0.7267 3841
   0   48  0.7019 3740
   0   49  0.8917 3883
   0   50  0.8179 3651
   0   51  0.6967 4800
   0   52  0.8569 3017
   0   53  0.5123 3013
   0   54  0.8529 4839
   0   55  0.6163 3174
   0   56  0.5794 3722
   0   57  0.6183 3252
   0   58  0.5573 3798
   0   59  0.5700 5459
   0   60  0.6026 5387
   0   61  0.5844 5398
   0   62  0.6245 5467
   0   63  0.5628 3980
   0   64  0.5990 2367
   0   65  0.5274 2365
   0   66  0.6342 3983
   1    2  0.9604 2054
   1    3  0.9925 4175
   1    4  0.9651  715
   1    5  0.9762 3516
   1    6  0.9869  685
   1    7  0.8719 1910
   1    8  0.9919 3490
   1    9  0.9804 3514
   1   10  0.9882 1944
   1   11  0.4308 3539
   1   12  0.6207  667
   1   13  0.4532 2066
   1   14  0.5605 1596
   1   15  0.3976 2164
   1   16  0.5760 3349
   1   17  0.7070 3403
   1   18  0.7019 3535
   1   19  0.6841 3352
   1   20  0.9323 2704
   1   21  0.9319 2438
   1   22  0.9721 2683
   1   23  0.8924 2436
   1   24  0.9112 3798
   1   25  0.9623 3696
   1   26  0.9532 3840
   1   27  0.9407 3575
   1   28  0.9394 2425
   1   29  0.9648 1250
   1   30  0.8711 1223
   1   31  0.9344 2426
   1   32  0.5722 2693
   1   33  0.6269 2860
   1   34  0.7099 2718
   1   35  0.6461 2877
   1   36  0.5922 1311
   1   37  0.6549 3690
   1   38  0.6518 1395
   1   39  0.4823 3552
   1   40  0.6000 2751
   1   41  0.4552 3286
   1   42  0.6421 3310
   1   43  0.7630 1792
   1   44  0.9361 3024
   1   45  0.9026 1827
   1   46  0.7559 2952
   1   47  0.7867 3576
   1   48  0.6946 1070
   1   49  0.9135 3638
   1   50  0.7662 1026
   1   51  0.5780 1966
   1   52  0.8910 3614
   1   53  0.6870 3645
   1   54  0.8385 1994
   1   55  0.5454  709
   1   56  0.6995 3852
   1   57  0.5426  728
   1   58  0.6144 3844
   1   59  0.5577 2245
   1   60  0.5454 2216
   1   61  0.5853 2236
   1   62  0.5951 2203
   1   63  0.6082 3352
   1   64  0.7214 3231
   1   65  0.6643 3179
   1   66  0.6972 3403
   2    3  0.9691 2014
   2    4  0.9183 2897
   2    5  0.9560 3793
   2    6  0.9327 2848
   2    7  0.8964 5062
   2    8  0.9726 3675
   2    9  0.9571 3641
   2   10  0.9624 5179
   2   11  0.3774 2509
   2   12  0.6305 3101
   2   13  0.3614 4503
   2   14  0.6470 4908
   2   15  0.4036 4609
   2   16  0.4312 3886
   2   17  0.5740 1901
   2   18  0.5519 2074
   2   19  0.6104 4003
   2   20  0.9224 1900
   2   21  0.9440 3698
   2   22  0.9549 1875
   2   23  0.8778 3666
   2   24  0.8708 2934
   2   25  0.9261 3768
   2   26  0.9504 2950
   2   27  0.9345 3737
   2   28  0.9142 4133
   2   29  0.9552 2538
   2   30  0.8470 2493
   2   31  0.9429 4126
   2   32  0.4225 3571
   2   33  0.5706 4213
   2   34  0.6304 3632
   2   35  0.6497 4174
   2   36  0.5261 2073
   2   37  0.5437 3608
   2   38  0.6361 2130
   2   39  0.3812 3626
   2   40  0.5350 2452
   2   41  0.4067 4037
   2   42  0.6193 3870
   2   43  0.7873 5074
   2   44  0.8977 1810
   2   45  0.8708 5142
   2   46  0.6524 1768
   2   47  0.7380 3776
   2   48  0.6806 3668
   2   49  0.9019 3820
   2   50  0.8022 3565
   2   51  0.6992 4688
   2   52  0.8660 2968
   2   53  0.5129 2958
   2   54  0.8556 4729
   2   55  0.5950 3049
   2   56  0.5938 3703
   2   57  0.5952 3125
   2   58  0.5697 3790
   2   59  0.5870 5362
   2   60  0.5920 5374
   2   61  0.6120 5304
   2   62  0.6274 5450
   2   63  0.5705 4005
   2   64  0.6110 2386
   2   65  0.5368 2387
   2   66  0.6455 4013
