   i    j      cc  nref
   0    1  0.8834 2871
   0    2  0.8662 2772
   0    3  0.9259 2478
   0    4  0.9322 1229
   0    5  0.9108 2940
   0    6  0.9076 3824
   0    7  0.9388 4340
   0    8  0.9458 2751
   0    9  0.8996 2772
   0   10  0.9211 2493
   0   11  0.9295 1232
   0   12  0.9080 2759
   0   13  0.9450 1847
   0   14  0.9440 2446
   0   15  0.9398 1238
   0   16  0.8494 3459
   0   17  0.9396 2002
   0   18  0.9456 3640
   0   19  0.9349 2096
   0   20  0.9436 3312
   0   21  0.9368 3667
   0   22  0.9329 2706
   0   23  0.9347 1862
   0   24  0.9295 2611
   0   25  0.9466 3714
   0   26  0.9398 2735
   0   27  0.6585 1768
   0   28  0.8935 2011
   0   29  0.9340 3257
   0   30  0.9375 3694
   0   31  0.7904 2693
   0   32  0.9470 1835
   0   33  0.8270 2965
   0   34  0.5928 2987
   0   35  0.9585 1363
   0   36  0.9095 2600
   0   37  0.9533 3609
   0   38  0.9089 5308
   0   39  0.9146 2796
   0   40  0.9294 1132
   0   41  0.9486 1830
   0   42  0.9507 2474
   0   43  0.9342 3608
   0   44  0.9231 1132
   0   45  0.9440 5205
   0   46  0.9184 2806
   0   47  0.9355 1120
   0   48  0.8958 1792
   0   49  0.9310 2398
   0   50  0.9219 3611
   0   51  0.9259 5295
   0   52  0.9208 2771
   0   53  0.9439 1112
   0   54  0.9480 1811
   0   55  0.9596 1796
   0   56  0.9552 2416
   0   57  0.6331 3480
   0   58  0.7788 4709
   0   59  0.8937 2369
   0   60  0.8654 2571
   0   61  0.9267 4136
   0   62  0.9337 4063
   0   63  0.9460 1814
   0   64  0.9770 1099
   0   65  0.9352 1692
   0   66  0.9269 2610
   0   67  0.9472 1846
   0   68  0.9072 4116
   0   69  0.9281 3846
   0   70  0.9578 1701
   0   71  0.9448 1071
   0   72  0.9154 1685
   0   73  0.8509 2541
   0   74  0.9042 4086
   0   75  0.9088 3726
   0   76  0.9384 1558
   0   77  0.9796 1047
   0   78  0.9676 1086
   0   79  0.9119 1737
   0   80  0.9384 2625
   0   81  0.8887 4000
   0   82  0.9192 1658
   1    2  0.9279 1951
   1    3  0.9793 2601
   1    4  0.9946 2719
   1    5  0.9669  999
   1    6  0.9955 4939
   1    7  0.9925 2143
   1    8  0.9916 1777
   1    9  0.9758 1947
   1   10  0.9696 2615
   1   11  0.9950 2752
   1   12  0.9682 1947
   1   13  0.9812  804
   1   14  0.9939 2557
   1   15  0.9795 2674
   1   16  0.8887 4449
   1   17  0.9788 1430
   1   18  0.9563 1914
   1   19  0.9919 4054
   1   20  0.9911 4744
   1   21  0.9848 1952
   1   22  0.9883 1188
   1   23  0.9806  989
   1   24  0.9772 1127
   1   25  0.9866 1964
   1   26  0.9837 1177
   1   27  0.7818  894
   1   28  0.9613 4028
   1   29  0.9879 4742
   1   30  0.9864 1954
   1   31  0.7403 1154
   1   32  0.9757  951
   1   33  0.9171 2735
   1   34  0.7900 3926
   1   35  0.9835 1571
   1   36  0.9351 4635
   1   37  0.9741 1999
   1   38  0.9773 3308
   1   39  0.9870 4998
   1   40  0.9912 2413
   1   41  0.9879 1676
   1   42  0.9847 1741
   1   43  0.9902 2019
   1   44  0.9771 2373
   1   45  0.9866 3234
   1   46  0.9896 5017
   1   47  0.9895 2414
   1   48  0.9441 1619
   1   49  0.9779 1716
